Title,Author,Narrator,Length,Release Date,Language,Rating
The Left Hand of Darkness,Ursula K. Le Guin,George Guidall,Length: 9 hrs and 39 mins,"Release date:
                                    12-28-16","Language:
                                      English",4 out of 5 stars
Convergence,Craig Alanson,R.C. Bray,Length: 16 hrs and 56 mins,"Release date:
                                    08-02-22","Language:
                                      English",4.5 out of 5 stars
Sufficiently Advanced Magic,Andrew Rowe,Nick Podehl,Length: 21 hrs and 58 mins,"Release date:
                                    07-04-17","Language:
                                      English",4.5 out of 5 stars
Soul of an Octopus,Sy Montgomery,Sy Montgomery,Length: 9 hrs and 10 mins,"Release date:
                                    05-12-15","Language:
                                      English",4.5 out of 5 stars
Boundless,Jack Campbell,Christian Rummel,Length: 11 hrs and 24 mins,"Release date:
                                    06-15-21","Language:
                                      English",4.5 out of 5 stars
Altered Carbon,Richard K. Morgan,Todd McLaren,Length: 17 hrs and 10 mins,"Release date:
                                    04-22-05","Language:
                                      English",4.5 out of 5 stars
Belonging,Geoffrey L. Cohen,Noah Michael Levine,Length: 11 hrs and 20 mins,"Release date:
                                    10-25-22","Language:
                                      English",4.5 out of 5 stars
Political Science for Dummies,Marcus A. Stadelmann,Jim Seybert,Length: 12 hrs and 28 mins,"Release date:
                                    09-15-20","Language:
                                      English",4.5 out of 5 stars
How Music Works,John Powell,Walter Dixon,Length: 8 hrs and 7 mins,"Release date:
                                    12-20-10","Language:
                                      English",4 out of 5 stars
House of Suns,Alastair Reynolds,John Lee,Length: 18 hrs and 17 mins,"Release date:
                                    08-25-09","Language:
                                      English",4.5 out of 5 stars
He Who Fights with Monsters: A LitRPG Adventure,Shirtaloon,Heath Miller,Length: 28 hrs and 56 mins,"Release date:
                                    03-09-21","Language:
                                      English",5 out of 5 stars
